qseqid	sseqid	bitscore
RECA_HERAR	RECA_THEP1	408
RECA_HERAR	RECA_LIMRD	441
RECA_HERAR	RECA_THEM4	402
RECA_HERAR	RECA_PETMO	395
RECA_HERAR	LEXA_PETMO	0
RECA_HERAR	RECA_THESQ	406
RECA_HERAR	RECA_STRMK	502
RECA_HERAR	RECA_LIMRJ	441
RECA_HERAR	RECA_ALIFM	0
RECA_HERAR	RECA_PSECP	445
RECA_HERAR	RECA_THENN	409
RECA_HERAR	LEXA_THENN	0
RECA_HERAR	RECA_XANOR	498
RECA_HERAR	LEXA_DEIRA	0
RECA_HERAR	RECA_XANAC	481
RECA_HERAR	RECA_XANCI	481
RECA_HERAR	RECA_BORPE	0
RECA_HERAR	RECA_LACLC	410
RECA_HERAR	RECA_LEPME	463
RECA_HERAR	RECA_NEIMB	501
RECA_HERAR	RECA_PROMI	493
RECA_HERAR	RECA_TRIV2	423
RECA_HERAR	RECA_ACIFI	0
RECA_HERAR	RECA_SERMA	479
RECA_HERAR	RECA_METFL	520
RECA_HERAR	RECA_NEIGO	499
RECA_HERAR	RECA_BACFR	0
RECA_HERAR	RECA_RHILV	506
RECA_HERAR	RECA_METME	519
RECA_HERAR	RECA_RHIET	507
RECA_HERAR	RECA_VIBAN	490
RECA_HERAR	RECA_ENTAG	0
RECA_HERAR	RECA_AQUPY	0
RECA_HERAR	RECA_STRAM	470
RECA_HERAR	RECA_RICPR	468
RECA_HERAR	RECA_ACIAD	0
RECA_HERAR	RECA_CLOB8	0
RECA_HERAR	RECA_RHOCA	496
RECA_HERAR	RECA_GLUOX	0
RECA_HERAR	RECA_LIMPL	426
RECA_HERAR	RECA_STRLI	464
RECA_HERAR	RECA_STRVP	468
RECA_HERAR	RECA_THEAQ	401
RECA_HERAR	RECA_THET2	396
RECA_HERAR	RECA_THETH	392
RECA_HERAR	RECA_BACLI	0
RECA_HERAR	RECA_BDEBA	0
RECA_HERAR	RECA_SODGL	477
RECA_HERAR	RECA_STAAU	440
RECA_HERAR	RECA_STAAW	440
