qseqid	sseqid	bitscore
RECA_HERAR	RECA_BORPE	537
RECA_HERAR	RECA_METME	512
RECA_HERAR	RECA_HYDCU	510
RECA_HERAR	RECA_METFL	509
RECA_HERAR	RECA_IDILO	508
RECA_HERAR	RECA_RHIET	507
RECA_HERAR	RECA_RHILV	506
RECA_HERAR	RECA_ACIFI	505
RECA_HERAR	RECA_STRMK	502
RECA_HERAR	RECA_NEIMB	501
RECA_HERAR	RECA_NEIGO	499
RECA_HERAR	RECA_XANOR	498
RECA_HERAR	RECA_XANCP	497
RECA_HERAR	RECA_RHOCA	496
RECA_HERAR	RECA_VIBPA	496
RECA_HERAR	RECA_PARDE	493
RECA_HERAR	RECA_GLUOX	492
RECA_HERAR	RECA_PROMI	493
RECA_HERAR	RECA_VIBVY	492
RECA_HERAR	RECA_RHOPA	491
RECA_HERAR	RECA_VIBAN	490
RECA_HERAR	RECA_ALKEH	489
RECA_HERAR	RECA_ALIFM	488
RECA_HERAR	RECA_BLAVI	485
RECA_HERAR	RECA_ACIAD	484
RECA_HERAR	RECA_ENTAG	483
RECA_HERAR	RECA_PECAS	483
RECA_HERAR	RECA_STUST	482
RECA_HERAR	RECA_ZYMMO	482
RECA_HERAR	RECA_PHOPR	481
RECA_HERAR	RECA_BDEBA	479
RECA_HERAR	RECA_SERMA	479
RECA_HERAR	RECA_SHISO	478
RECA_HERAR	RECA_PSETO	477
RECA_HERAR	RECA_PSEPU	477
RECA_HERAR	RECA_SODGM	477
RECA_HERAR	RECA_SODGL	477
RECA_HERAR	RECA_PSEFL	474
RECA_HERAR	RECA_XANCI	473
RECA_HERAR	RECA_XANAC	473
RECA_HERAR	RECA_MANHA	471
RECA_HERAR	RECA_STRAM	470
RECA_HERAR	RECA_STRVP	468
RECA_HERAR	RECA_HALH5	465
RECA_HERAR	RECA_STRLI	464
RECA_HERAR	RECA_RICPR	462
RECA_HERAR	RECA_LEPME	463
RECA_HERAR	RECA_DESPS	461
RECA_HERAR	RECA_CLOPE	461
RECA_HERAR	RECA_LEIXX	461
RECA_HERAR	RECA_STRRM	460
RECA_HERAR	RECA_BACLI	454
RECA_HERAR	RECA_CLOB8	451
RECA_HERAR	RECA_NEIMU	443
RECA_HERAR	RECA_BIFBR	446
RECA_HERAR	RECA_PSECP	445
RECA_HERAR	RECA_LISWE	444
RECA_HERAR	RECA_LISSE	444
RECA_HERAR	RECA_LISIV	444
RECA_HERAR	RECA_COREF	445
RECA_HERAR	RECA_LISIN	442
RECA_HERAR	RECA_BIFLO	444
RECA_HERAR	RECA_LIMRJ	441
RECA_HERAR	RECA_LIMRD	441
RECA_HERAR	RECA_LEVBA	442
RECA_HERAR	RECA_LACPE	441
RECA_HERAR	RECA_STAAR	440
RECA_HERAR	RECA_STAAS	440
RECA_HERAR	RECA_STAAC	440
RECA_HERAR	RECA_STAAB	440
RECA_HERAR	RECA_STAAW	440
RECA_HERAR	RECA_STAAU	440
RECA_HERAR	RECA_LATSS	434
RECA_HERAR	RECA_STRAG	431
RECA_HERAR	RECA_CAMJE	428
RECA_HERAR	RECA_CAMLA	427
RECA_HERAR	RECA_LIMPL	426
RECA_HERAR	RECA_STAES	424
RECA_HERAR	RECA_PARMW	413
RECA_HERAR	RECA_TRIV2	410
RECA_HERAR	RECA_LACLC	410
RECA_HERAR	RECA_THENN	409
RECA_HERAR	RECA_THEP1	408
RECA_HERAR	RECA_LACAC	408
RECA_HERAR	RECA_THESQ	406
RECA_HERAR	RECA_THEM4	402
RECA_HERAR	RECA_BACFR	401
RECA_HERAR	RECA_AQUPY	400
RECA_HERAR	RECA_PETMO	395
RECA_HERAR	RECA_THEAQ	394
RECA_HERAR	RECA_DEIGD	392
RECA_HERAR	RECA_THET2	382
RECA_HERAR	RECA_THET8	381
RECA_HERAR	RECA_THETH	378
RECA_HERAR	RECA_FUSNN	368
RECA_THEP1	RECA_THESQ	694
RECA_THEP1	RECA_THENN	646
RECA_THEP1	RECA_THEM4	503
RECA_THEP1	RECA_PETMO	462
RECA_THEP1	RECA_LEVBA	443
RECA_THEP1	RECA_HALH5	437
RECA_THEP1	RECA_STRVP	436
RECA_THEP1	RECA_STRAM	434
RECA_THEP1	RECA_STRLI	434
RECA_THEP1	RECA_BACLI	432
RECA_THEP1	RECA_LACPE	433
RECA_THEP1	RECA_LISIV	431
RECA_THEP1	RECA_LISSE	431
RECA_THEP1	RECA_LISIN	431
RECA_THEP1	RECA_LISWE	430
RECA_THEP1	RECA_STRRM	425
RECA_THEP1	RECA_PSECP	423
RECA_THEP1	RECA_RHILV	422
RECA_THEP1	RECA_RHIET	421
RECA_THEP1	RECA_LIMRJ	420
RECA_THEP1	RECA_LIMRD	420
RECA_THEP1	RECA_IDILO	420
RECA_THEP1	RECA_ACIAD	419
RECA_THEP1	RECA_HYDCU	417
RECA_THEP1	RECA_CLOPE	415
RECA_THEP1	RECA_LATSS	415
RECA_THEP1	RECA_LEIXX	415
RECA_THEP1	RECA_COREF	415
RECA_THEP1	RECA_PARDE	412
RECA_THEP1	RECA_RHOCA	412
RECA_THEP1	RECA_BLAVI	412
RECA_THEP1	RECA_RHOPA	412
RECA_THEP1	RECA_STAAR	411
RECA_THEP1	RECA_STAAS	411
RECA_THEP1	RECA_STAAC	411
RECA_THEP1	RECA_STAAB	411
RECA_THEP1	RECA_STAAW	411
RECA_THEP1	RECA_STAAU	411
RECA_THEP1	RECA_DESPS	410
RECA_THEP1	RECA_STRMK	410
RECA_THEP1	RECA_GLUOX	410
RECA_THEP1	RECA_ACIFI	410
RECA_THEP1	RECA_BIFBR	411
RECA_THEP1	RECA_BIFLO	411
RECA_THEP1	RECA_STAES	409
RECA_THEP1	RECA_PSETO	407
RECA_THEP1	RECA_LEPME	408
RECA_THEP1	RECA_PSEPU	405
RECA_THEP1	RECA_PSEFL	404
RECA_THEP1	RECA_XANOR	403
RECA_THEP1	RECA_ZYMMO	403
RECA_THEP1	RECA_CLOB8	404
RECA_THEP1	RECA_VIBPA	403
RECA_THEP1	RECA_HERAR	403
RECA_THEP1	RECA_PHOPR	402
RECA_THEP1	RECA_NEIMB	402
RECA_THEP1	RECA_NEIGO	401
RECA_THEP1	RECA_ALIFM	401
RECA_THEP1	RECA_XANCP	400
RECA_THEP1	RECA_LACAC	400
RECA_THEP1	RECA_VIBVY	399
RECA_THEP1	RECA_STUST	399
RECA_THEP1	RECA_SHISO	398
RECA_THEP1	RECA_VIBAN	397
RECA_THEP1	RECA_PECAS	396
RECA_THEP1	RECA_BORPE	394
RECA_THEP1	RECA_PROMI	393
RECA_THEP1	RECA_SODGM	393
RECA_THEP1	RECA_SODGL	393
RECA_THEP1	RECA_ALKEH	392
RECA_THEP1	RECA_MANHA	392
RECA_THEP1	RECA_ENTAG	391
RECA_THEP1	RECA_SERMA	390
RECA_THEP1	RECA_BDEBA	390
RECA_THEP1	RECA_METME	388
RECA_THEP1	RECA_METFL	386
RECA_THEP1	RECA_PARMW	387
RECA_THEP1	RECA_RICPR	385
RECA_THEP1	RECA_AQUPY	385
RECA_THEP1	RECA_LACLC	386
RECA_THEP1	RECA_XANCI	383
RECA_THEP1	RECA_XANAC	383
RECA_THEP1	RECA_STRAG	384
RECA_THEP1	RECA_LIMPL	383
RECA_THEP1	RECA_THEAQ	381
RECA_THEP1	RECA_TRIV2	379
RECA_THEP1	RECA_CAMLA	370
RECA_THEP1	RECA_CAMJE	370
RECA_THEP1	RECA_THET2	369
RECA_THEP1	RECA_THET8	368
RECA_THEP1	RECA_BACFR	365
RECA_THEP1	RECA_NEIMU	363
RECA_THEP1	RECA_THETH	364
RECA_THEP1	RECA_FUSNN	353
RECA_THEP1	RECA_DEIGD	340
RECA_LIMRD	RECA_LIMRJ	734
RECA_LIMRD	RECA_LACPE	568
RECA_LIMRD	RECA_LEVBA	564
RECA_LIMRD	RECA_LATSS	558
RECA_LIMRD	RECA_LACAC	521
RECA_LIMRD	RECA_LISIV	518
RECA_LIMRD	RECA_LISWE	518
RECA_LIMRD	RECA_LISSE	517
RECA_LIMRD	RECA_LISIN	517
RECA_LIMRD	RECA_BACLI	513
RECA_LIMRD	RECA_HALH5	509
RECA_LIMRD	RECA_STAAR	489
RECA_LIMRD	RECA_STAAS	489
RECA_LIMRD	RECA_STAAC	489
RECA_LIMRD	RECA_STAAB	489
RECA_LIMRD	RECA_STAAW	489
RECA_LIMRD	RECA_STAAU	489
RECA_LIMRD	RECA_STAES	476
RECA_LIMRD	RECA_LACLC	465
RECA_LIMRD	RECA_STRAG	464
RECA_LIMRD	RECA_GLUOX	460
RECA_LIMRD	RECA_STRLI	456
RECA_LIMRD	RECA_STRAM	454
RECA_LIMRD	RECA_STRVP	453
RECA_LIMRD	RECA_ZYMMO	451
RECA_LIMRD	RECA_CLOPE	450
